k00.00;k00.01;k00.02;k00.03;k00.04;k00.05;k00.06;k00.07;k00.08;k00.09;k00.0A;k00.0B;k00.0C;k00.0D;k00.0E;k00.0F;k00.10;k00.11;k01;k09[0];k09[1];k09[2];k09[3];k09[4];k09[5];k09[6];k09[7];k09[8];k09[9];k09[A];k09[B];k09[C];k09[D];k09[E];k09[F];k09[10];k09[11];k09[12];k09[13];k09[14];k09[15];k09[16];k09[17];k0D.00;k0D.01;k0D.02;k0D.03;k0D.04;k0D.05;k0D.06;k0D.07;k0D.08;k0D.09;k0D.0A;k0D.0B;k0D.0C;k0D.0D;k0D.0E;k0D.0F;k0D.10;k0D.11;k0D.12;k0D.13;k0D.14;k0D.15;k0D.16;k0D.17;k0D.18;k0D.19;k0D.1A;k0D.1B;k0F.00[0];k0F.00[1];k0F.00[2];k0F.00[3];k0F.00[4];k0F.00[5];k0F.00[6];k0F.00[7];
year;month;day;hour;minute;second;milisecond;Unix.Time;time stamp;X-Act-Speed;Y-Act-Speed;Z-Act-Speed;X-Tar-Speed;Y-Tar-Speed;Z-Tar-Speed;SP-Torque;SP-True-Power;X-Torque;X-Act-Pos;Y-Act-Pos;Z-Act-Pos;X-Tar-Pos;Y-Tar-Pos;Z-Tar-Pos;Y-Torque;ACC_X;ACC_Y;ACC_Z;True Power;X-Act_Enc-Pos;Y-Act_Enc-Pos;Z-Act_Enc-Pos;Z-Torque;PN;TN;AN;LocalID;
2018;10;18;14;47;43;597;1539866863;360000;1737;-2421;1836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2485368;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;370000;3948;9422;-533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2516396;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;380000;-2151;4982;-2250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2518539;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;390000;-4178;-4380;1060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2523293;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;400000;782;-6104;1591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2528873;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;410000;4311;3301;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2567489;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;420000;4189;7910;-682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2571571;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;430000;3887;13751;-2449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2539348;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;440000;2732;8788;2160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2444747;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;450000;-222;13803;-2647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1804535;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;460000;-2259;-9103;818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789958;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;470000;2765;6310;-1249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1801220;0;0;0;0;#nv;#nv;#nv;#nv;
