year;month;day;hour;minute;second;milisecond;Unix.Time;time stamp;X-Act-Speed;Y-Act-Speed;Z-Act-Speed;X-Tar-Speed;Y-Tar-Speed;Z-Tar-Speed;SP-Torque;SP-True-Power;X-Torque;X-Act-Pos;Y-Act-Pos;Z-Act-Pos;X-Tar-Pos;Y-Tar-Pos;Z-Tar-Pos;Y-Torque;ACC_X;ACC_Y;ACC_Z;True Power;X-Act_Enc-Pos;Y-Act_Enc-Pos;Z-Act_Enc-Pos;Z-Torque;PN;TN;AN;LocalID;
2018;10;18;14;47;43;597;1539866863;0;-2248;-6855;1067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1767836;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;10000;-4473;-11102;2615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1744606;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;20000;-1110;-8385;-1401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1707955;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;30000;1778;4505;868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1757200;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;40000;-2155;-6144;-292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1750544;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;50000;5200;3409;1306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1789629;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;60000;2131;6752;-2659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1756947;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;70000;-2499;-8203;-2690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1760305;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;80000;3046;2436;-816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1770335;0;0;0;0;#nv;#nv;#nv;#nv;
2018;10;18;14;47;43;597;1539866863;90000;-3401;89;-1493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1771137;0;0;0;0;#nv;#nv;#nv;#nv;
